Agent,Outcome1,Outcome2,Action,Incentive,Pivotality,Subject,Context,RoundNum
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,22,Football,24
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,22,Football,25
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,22,Business,26
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,22,Business,27
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,22,Football,28
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,22,Football,29
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,22,Football,30
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,22,Business,31
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,22,Football,32
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,23,Business,1
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,23,Football,2
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,23,Football,3
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,23,Football,4
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,23,Football,5
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,23,Business,6
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,23,Football,7
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,23,Football,8
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,23,Business,9
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,23,Business,10
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,23,Business,11
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,23,Football,12
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,23,Business,13
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,23,Football,14
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,23,Football,15
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,23,Business,16
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,23,Football,17
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,23,Football,18
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,23,Football,19
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,23,Business,20
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,23,Business,21
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,23,Business,22
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,23,Business,23
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,23,Business,24
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,23,Football,25
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,23,Football,26
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,23,Business,27
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,23,Business,28
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,23,Football,29
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,23,Business,30
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,23,Business,31
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,23,Football,32
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,24,Business,1
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,24,Football,2
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,24,Football,3
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,24,Football,4
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,24,Business,5
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,24,Business,6
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,24,Business,7
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,24,Business,8
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,24,Football,9
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,24,Business,10
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,24,Football,11
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,24,Business,12
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,24,Football,13
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,24,Football,14
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,24,Business,15
